"Rata-rata Suhu dan Kelembaban Udara Menurut Bulan di Provinsi Jawa Tengah, 2019 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average Temperature and Humidity by Month in Jawa Tengah Province, 2019 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bulan
Month",Suhu/Temperature,,,,,,,,,Kelembaban/Humidity (%),,,,,,,,,,,,,,,,,,
,Minimum/ Minimum,,,Rata-rata/ Average,,,Maksimum/ Maximum,,,Minimum/ Minimum,,,Rata-rata/ Average,,,Maksimum/ Maximum,,,,,,,,,,,,
,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januari/January,25.0,22.00,22.4,27.5,27.80,26.8,30.8,33.00,31.4,66,70.00,72,85,87.00,89,97,98.00,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Februari/February,24.8,22.40,20.8,27.8,27.40,26.5,31.5,31.60,31.6,61,72.00,76,85,88.00,92,98,97.00,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maret/March,24.8,24.00,23.6,27.4,28.00,27.5,31.2,33.40,31.0,67,70.00,72,87,87.00,89,98,100.00,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April/April,32.8,22.40,23.4,28.5,28.50,28.2,32.8,34.60,34.4,54,62.00,46,82,85.00,82,98,98.00,97,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei/May,25.1,24.00,21.8,28.8,29.00,28.9,33.4,35.40,34.4,48,59.00,56,76,82.00,80,95,97.00,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juni/June,23.9,23.40,23.8,28.1,28.50,28.2,33.5,34.00,34.0,42,60.00,55,73,81.00,79,91,94.00,95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juli/July,22.9,21.40,20.4,27.7,28.30,28.3,33.7,34.20,34.6,34,51.00,40,70,80.00,70,97,95.00,91,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustus/August,23.2,21.00,22.8,27.8,28.60,28.4,34.0,35.00,35.0,34,51.00,48,67,79.00,75,89,95.00,95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September/September,23.9,23.60,19.0,28.6,29.20,28.6,35.1,35.80,35.6,27,47.00,45,67,76.00,76,94,95.00,94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktober/October,24.8,23.60,24.2,29.7,28.70,28.9,35.7,36.00,36.0,39,55.00,42,72,81.00,78,92,97.00,94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November/November,25.6,23.00,22.8,29.9,28.60,27.7,34.9,31.30,32.8,43,58.00,65,76,83.00,85,98,95.00,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desember/December,24.3,23.40,23.8,28.5,27.40,27.7,32.3,31.80,32.2,46,65.00,63,84,87.00,85,98,98.00,97,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumber/Source    : Stasiun Klimatologi Klas I, Semarang/Class I Climatology Station of Semarang",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
