"Rata-rata Suhu dan Kelembaban Udara Menurut Bulan di Provinsi Jawa Tengah, 2019 - 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
"Average Temperature and Humidity by Month in Jawa Tengah Province, 2019 - 2021",Suhu/Temperature,2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,Kelembaban/Humidity (%),2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,,,,,,,,,,
"Bulan
Month",Suhu/Temperature,2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,Kelembaban/Humidity (%),2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,,,,,,,,,,
"Bulan
Month",Minimum/ Minimum,2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,Minimum/ Minimum,2020.0,2021.0,Rata-rata/ Average,2020.0,2021.0,Maksimum/ Maximum,2020.0,2021.0,,,,,,,,,,
"Bulan
Month",2019,2020.0,2021.0,2019,2020.0,2021.0,2019,2020.0,2021.0,2019,2020.0,2021.0,2019,2020.0,2021.0,2019,2020.0,2021.0,,,,,,,,,,
Januari/January,25.0,22.0,22.4,27.5,27.8,26.8,30.8,33.0,31.4,66,70.0,72.0,85,87.0,89.0,97,98.0,98.0,,,,,,,,,,
Februari/February,24.8,22.4,20.8,27.8,27.4,26.5,31.5,31.6,31.6,61,72.0,76.0,85,88.0,92.0,98,97.0,98.0,,,,,,,,,,
Maret/March,24.8,24.0,23.6,27.4,28.0,27.5,31.2,33.4,31.0,67,70.0,72.0,87,87.0,89.0,98,100.0,98.0,,,,,,,,,,
April/April,32.8,22.4,23.4,28.5,28.5,28.2,32.8,34.6,34.4,54,62.0,46.0,82,85.0,82.0,98,98.0,97.0,,,,,,,,,,
Mei/May,25.1,24.0,21.8,28.8,29.0,28.9,33.4,35.4,34.4,48,59.0,56.0,76,82.0,80.0,95,97.0,98.0,,,,,,,,,,
Juni/June,23.9,23.4,23.8,28.1,28.5,28.2,33.5,34.0,34.0,42,60.0,55.0,73,81.0,79.0,91,94.0,95.0,,,,,,,,,,
Juli/July,22.9,21.4,20.4,27.7,28.3,28.3,33.7,34.2,34.6,34,51.0,40.0,70,80.0,70.0,97,95.0,91.0,,,,,,,,,,
Agustus/August,23.2,21.0,22.8,27.8,28.6,28.4,34.0,35.0,35.0,34,51.0,48.0,67,79.0,75.0,89,95.0,95.0,,,,,,,,,,
September/September,23.9,23.6,19.0,28.6,29.2,28.6,35.1,35.8,35.6,27,47.0,45.0,67,76.0,76.0,94,95.0,94.0,,,,,,,,,,
Oktober/October,24.8,23.6,24.2,29.7,28.7,28.9,35.7,36.0,36.0,39,55.0,42.0,72,81.0,78.0,92,97.0,94.0,,,,,,,,,,
November/November,25.6,23.0,22.8,29.9,28.6,27.7,34.9,31.3,32.8,43,58.0,65.0,76,83.0,85.0,98,95.0,98.0,,,,,,,,,,
Desember/December,24.3,23.4,23.8,28.5,27.4,27.7,32.3,31.8,32.2,46,65.0,63.0,84,87.0,85.0,98,98.0,97.0,,,,,,,,,,
"Sumber/Source    : Stasiun Klimatologi Klas I, Semarang/Class I Climatology Station of Semarang",24.3,23.4,23.8,28.5,27.4,27.7,32.3,31.8,32.2,46,65.0,63.0,84,87.0,85.0,98,98.0,97.0,,,,,,,,,,
