"Rata-Rata Tekanan Udara, Kecepatan Angin dan Lama Penyinaran Matahari Menurut Bulan di Provinsi Jawa Tengah, 2019  - 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
"Average Atmospheric Pressure, Wind Velocity and Duration of Sunshine by Month in Jawa Tengah Province, 2019 - 2021","Tekanan Udara
Atmospheric Pressure (mb) ",2020,2021,"Kecepatan Angin
Wind Velocity (Km/Jam)",2020.0,2021.0,"Penyinaran Matahari (persen)
Sunshine Duration (percent)",2020.0,2021.0,,,,,,,,,,,,,
"Bulan
Month","Tekanan Udara
Atmospheric Pressure (mb) ",2020,2021,"Kecepatan Angin
Wind Velocity (Km/Jam)",2020.0,2021.0,"Penyinaran Matahari (persen)
Sunshine Duration (percent)",2020.0,2021.0,,,,,,,,,,,,,
"Bulan
Month",2019,2020,2021,2019,2020.0,2021.0,2019,2020.0,2021.0,,,,,,,,,,,,,
Januari/January,"1,009.7","1,009.7","1,008.4",5.6,5.1,4.8,47.0,55.0,34.0,,,,,,,,,,,,,
Februari/February,"1,011.3","1,010.3","1,009.0",4.4,10.3,6.8,68.0,46.0,39.0,,,,,,,,,,,,,
Maret/March,"1,010.1","1,010.0","1,009.2",4.5,4.6,4.4,53.0,64.0,68.0,,,,,,,,,,,,,
April/April,"1,009.5","1,010.3","1,010.2",4.7,4.7,4.7,78.0,65.0,74.0,,,,,,,,,,,,,
Mei/May,"1,010.4","1,009.7","1,009.5",5.6,5.1,5.0,88.0,74.0,81.0,,,,,,,,,,,,,
Juni/June,"1,010.6","1,010.6","1,010.8",5.0,5.2,4.9,89.0,80.0,75.0,,,,,,,,,,,,,
Juli/July,"1,010.8","1,009.8","1,010.6",5.9,5.0,5.0,95.0,89.0,89.0,,,,,,,,,,,,,
Agustus/August,"1,012.2","1,010.6","1,011.3",6.1,6.0,6.0,98.0,92.0,91.0,,,,,,,,,,,,,
September/September,"1,012.8","1,010.6","1,010.6",6.4,5.0,5.0,99.0,93.0,84.0,,,,,,,,,,,,,
Oktober/October,"1,010.8","1,009.9","1,010.2",5.6,5.0,5.0,97.0,67.0,85.0,,,,,,,,,,,,,
November/November,"1,010.4","1,009.8","1,008.8",5.2,5.0,4.0,80.0,64.0,47.0,,,,,,,,,,,,,
Desember/December,"1,009.7","1,008.2","1,009.9",4.4,5.0,4.0,66.0,47.0,47.0,,,,,,,,,,,,,
"Sumber/Source   : Stasiun Klimatologi Klas I, Semarang/Class I Climatology Station of Semarang","1,009.7","1,008.2","1,009.9",4.4,5.0,4.0,66.0,47.0,47.0,,,,,,,,,,,,,
